frame.number	eth.dst	eth.src	eth.type	ip.version	ip.hdr_len	ip.dsfield.dscp	ip.dsfield.ecn	ip.len	ip.id	ip.flags.rb	ip.flags.df	ip.flags.mf	ip.frag_offset	ip.ttl	ip.proto	ip.checksum	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.hdr_len	tcp.flags.res	tcp.flags.ns	tcp.flags.cwr	tcp.flags.ecn	tcp.flags.urg	tcp.flags.ack	tcp.flags.push	tcp.flags.reset	tcp.flags.syn	tcp.flags.fin	tcp.window_size_value	tcp.checksum	tcp.urgent_pointer	tcp.options	tcp.payload	udp.srcport	udp.dstport	udp.length	udp.checksum	eth.padding
127	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016e4	0	1	0	0	64	6	0x0000a27c	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000eaf7	0	0101080a0016137800054b93						
128	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016e5	0	1	0	0	64	6	0x0000a27a	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x000088cd	0	0101080a0016139900054b93	62					
129	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016e5	0	1	0	0	64	6	0x0000a27a	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x000088cd	0	0101080a0016139900054b93						
130	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	53	0x0000782c	0	0	0	0	64	6	0x00008133	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000c263	0	0101080a00054b9400161399	62					
131	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016e6	0	1	0	0	64	6	0x0000a27a	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000ead1	0	0101080a0016139b00054b94						
132	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016e7	0	1	0	0	64	6	0x0000a278	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x000081ad	0	0101080a001613b600054b94	69					
133	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	52	0x000028f8	0	0	0	0	64	6	0x0000d068	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	0	0	0	0	17376	0x0000244e	0	0101080a00054b94001613b6						
134	00:a0:cc:3b:bf:fa	00:00:c0:9f:a0:97	0x00000800	4	20	4	0	53	0x00007089	0	0	0	0	64	6	0x000088d6	192.168.0.1	192.168.0.2	23	1254	32	0	0	0	0	0	1	1	0	0	0	17376	0x0000bb44	0	0101080a00054b94001613b6	69					
135	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	52	0x000016e8	0	1	0	0	64	6	0x0000a278	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	0	0	0	0	32120	0x0000eab2	0	0101080a001613b800054b94						
136	00:00:c0:9f:a0:97	00:a0:cc:3b:bf:fa	0x00000800	4	20	4	0	53	0x000016e9	0	1	0	0	64	6	0x0000a276	192.168.0.2	192.168.0.1	1254	23	32	0	0	0	0	0	1	1	0	0	0	32120	0x00007c8d	0	0101080a001613d400054b94	6e					
